ngay_tao_don,region_shortname,province_name,district_name,ward_name,deliver_warehouse_id,warehouse_name,nhom_kh,nhom_kl,so_don
2026-09-06,NTB,Ninh Thuận,Thành phố Phan Rang – Tháp Chàm,Phường Đô Vinh,2015000000.00%,(NTH) Bảo An,SME,1. 10-20kg,3
2026-09-06,NTB,Ninh Thuận,Thành phố Phan Rang – Tháp Chàm,Phường Phước Mỹ,2015000000.00%,(NTH) Bảo An,TTS,1. 10-20kg,2
2026-09-06,NTB,Ninh Thuận,Thành phố Phan Rang – Tháp Chàm,Phường Bảo An,2015000000.00%,(NTH) Bảo An,SHOPEE Bulky,1. 10-20kg,3
2026-09-06,NTB,Ninh Thuận,Huyện Ninh Sơn,Xã Nhơn Sơn,2015000000.00%,(NTH) Bảo An,TTS,1. 10-20kg,2
2026-09-06,NTB,Ninh Thuận,Thành phố Phan Rang – Tháp Chàm,Phường Phước Mỹ,2015000000.00%,(NTH) Bảo An,SME,1. 10-20kg,2
2026-09-06,NTB,Ninh Thuận,Thành phố Phan Rang – Tháp Chàm,Phường Đô Vinh,2015000000.00%,(NTH) Bảo An,SHOPEE Bulky,1. 10-20kg,2
2026-09-06,NTB,Ninh Thuận,Thành phố Phan Rang – Tháp Chàm,Xã Thành Hải,2015000000.00%,(NTH) Bảo An,SME,1. 10-20kg,2
2026-09-06,NTB,Ninh Thuận,Thành phố Phan Rang – Tháp Chàm,Phường Phước Mỹ,2015000000.00%,(NTH) Bảo An,SHOPEE Bulky,1. 10-20kg,3
2026-09-06,NTB,Ninh Thuận,Huyện Ninh Sơn,Xã Nhơn Sơn,2015000000.00%,(NTH) Bảo An,SME,2. 20-30kg,3
2026-09-06,NTB,Ninh Thuận,Thành phố Phan Rang – Tháp Chàm,Xã Thành Hải,2015000000.00%,(NTH) Bảo An,SHOPEE Bulky,2. 20-30kg,1
2026-09-06,NTB,Ninh Thuận,Huyện Ninh Sơn,Xã Nhơn Sơn,2015000000.00%,(NTH) Bảo An,SHOPEE Bulky,2. 20-30kg,1
2026-09-06,NTB,Ninh Thuận,Thành phố Phan Rang – Tháp Chàm,Phường Đô Vinh,2015000000.00%,(NTH) Bảo An,SME,2. 20-30kg,1
2026-09-06,NTB,Ninh Thuận,Thành phố Phan Rang – Tháp Chàm,Xã Thành Hải,2015000000.00%,(NTH) Bảo An,TTS Bulky,3. 30-50kg,1
2026-09-06,NTB,Ninh Thuận,Huyện Ninh Sơn,Xã Nhơn Sơn,2015000000.00%,(NTH) Bảo An,SME,3. 30-50kg,5
2026-09-06,NTB,Ninh Thuận,Thành phố Phan Rang – Tháp Chàm,Xã Thành Hải,2015000000.00%,(NTH) Bảo An,SME,4. >50kg,1
2026-09-06,NTB,Đắk Nông,Huyện Đắk R lấp,Xã Nghĩa Thắng,2026900000.00%,(DNO) Kiến Đức,SHOPEE Bulky,1. 10-20kg,2
2026-09-06,NTB,Đắk Nông,Huyện Đắk R lấp,Thị trấn Kiến Đức,2026900000.00%,(DNO) Kiến Đức,TTS,1. 10-20kg,3
2026-09-06,NTB,Đắk Nông,Huyện Đắk R lấp,Xã Đạo Nghĩa,2026900000.00%,(DNO) Kiến Đức,SHOPEE Bulky,1. 10-20kg,2
2026-09-06,NTB,Đắk Nông,Huyện Đắk R lấp,Xã Kiến Thành,2026900000.00%,(DNO) Kiến Đức,SHOPEE Bulky,1. 10-20kg,1
2026-09-06,NTB,Đắk Nông,Huyện Đắk R lấp,Xã Nghĩa Thắng,2026900000.00%,(DNO) Kiến Đức,SME,1. 10-20kg,2
2026-09-06,NTB,Đắk Nông,Huyện Tuy Đức,Xã Quảng Tân,2026900000.00%,(DNO) Kiến Đức,TTS,1. 10-20kg,1
2026-09-06,NTB,Đắk Nông,Huyện Đắk R lấp,Thị trấn Kiến Đức,2026900000.00%,(DNO) Kiến Đức,SHOPEE Bulky,1. 10-20kg,2
2026-09-06,NTB,Đắk Nông,Huyện Tuy Đức,Xã Quảng Tân,2026900000.00%,(DNO) Kiến Đức,SHOPEE Bulky,1. 10-20kg,3
2026-09-06,NTB,Đắk Nông,Huyện Đắk R lấp,Xã Kiến Thành,2026900000.00%,(DNO) Kiến Đức,SME,1. 10-20kg,1
