Mã bưu cục,Mã đơn hàng,Loại đơn,Khách hàng,Trạng thái,Thời gian tồn đọng,warehouse_name
22363000,VNGH80104689203,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,(KHO) Nam Nha Trang 3
22051000,VNGH80350209107,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,(LDO) Lang Biang - Đà Lạt 1
22363000,VNGH80357559109,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,(KHO) Nam Nha Trang 3
22051000,VNGH80988019104,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,(LDO) Lang Biang - Đà Lạt 1
22363000,VNGH80123699109,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,(KHO) Nam Nha Trang 3
22222000,GYYNHNYB,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Bảo Lâm 1
20320000,GYY64H9P,Luân chuyển trả,OTHER,Chưa đóng kiện,72_96,(KHO) Tây Nha Trang
22222000,GYYKHY8K,Luân chuyển trả,OTHER,Đã đóng kiện,6_12,(LDO) Bảo Lâm 1
22242000,GYYNCEG6,Luân chuyển trả,SHOPEE,Chưa đóng kiện,36_48,(DNO) Bắc Gia Nghĩa
22222000,GYYAQYHP,Luân chuyển giao,SHOPEE,Đã đóng kiện,12_24,(LDO) Bảo Lâm 1
